iter	Passed	Remaining
0	0	80
1	1	69
2	2	66
3	2	65
4	3	62
5	3	60
6	4	58
7	4	56
8	5	56
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	48
17	10	48
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	43
24	14	43
25	15	43
26	16	43
27	16	42
28	17	42
29	17	41
30	18	41
31	18	40
32	19	39
33	20	38
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	35	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	43	14
75	44	13
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
